,overlap_proportion,Condition,Time (min)
0,0.0839152360065375,ADC,30
1,0.0504095778197857,ADC,30
2,0.0122736297455026,ADC,30
3,0.1019020747695376,ADC,30
4,0.0158661784765596,ADC,30
5,0.017173389994688,ADC,30
6,0.0791566979651467,ADC,30
7,0.0551616800061532,ADC,30
8,0.0431494352692986,ADC,30
9,0.0735198902025456,ADC,30
10,0.0234908494946735,ADC,30
11,0.0377792184829374,ADC,30
12,0.0114578254509995,ADC,60
13,0.0017442394198108,ADC,60
14,0.0519916754901602,ADC,60
15,0.124028622159337,ADC,60
16,0.0041043682204632,ADC,60
17,0.0311734580271654,ADC,60
18,0.3268908189510567,ADC,60
19,0.073020706455542,ADC,60
20,0.0241543045789744,ADC,60
21,0.0649654218988433,ADC,60
22,0.0750745346141585,ADC,60
23,0.0966165330978639,ADC,60
24,0.0328786914769562,ADC,90
25,0.056635330089454,ADC,90
26,0.0477420544876509,ADC,90
27,0.0733996497964509,ADC,90
28,0.0808829245745738,ADC,90
29,0.1436605143707961,ADC,90
30,0.0776938862280448,ADC,90
31,0.0984224737085948,ADC,90
32,0.091121925909072,ADC,90
33,0.1259140170239488,ADC,90
34,0.0306748316054818,ADC,90
35,0.0246543691526836,ADC,90
36,0.0849811512754689,ADC,120
37,0.0593018798665429,ADC,120
38,0.1615603452199554,ADC,120
39,0.1030448681239738,ADC,120
40,0.0937971198194894,ADC,120
41,0.2081577174019211,ADC,120
42,0.0061792009099035,ADC,120
43,0.1079223427314587,ADC,120
44,0.1807335713838251,ADC,120
45,0.0951411864288225,ADC,120
46,0.0947387655935444,ADC,120
47,0.1292900481526152,ADC,120
48,0.2379173602635856,ADC,150
49,0.1927830815407495,ADC,150
50,0.2151365915674675,ADC,150
51,0.0582849821487197,ADC,150
52,0.1533058435242378,ADC,150
53,0.0013601972285981,ADC,150
54,0.1707343631404803,ADC,150
55,0.2601444667217378,ADC,150
56,0.2130126377169023,ADC,150
57,0.1898553339545104,ADC,150
58,0.2223794230649461,ADC,150
59,0.0299454588570073,ADC,150
60,0.0941746029858362,ADC,180
61,0.0005423069550866,ADC,180
62,0.0690811454397453,ADC,180
63,0.1370308196339062,ADC,180
64,0.2333484427165508,ADC,180
65,0.2225323067321166,ADC,180
66,0.1512727357929362,ADC,180
67,0.2369475977244679,ADC,180
68,0.2880400273141503,ADC,180
69,0.1776776405421482,ADC,180
70,0.275313453561241,ADC,180
71,0.1655752995249908,ADC,180
72,0.2424877791647492,ADC,210
73,0.2857501260218221,ADC,210
74,0.1962176599942701,ADC,210
75,0.1987915277415962,ADC,210
76,0.2604210693189995,ADC,210
77,0.0582431847684984,ADC,210
78,0.2689955845694274,ADC,210
79,0.1844326509270945,ADC,210
80,0.2127773047254158,ADC,210
81,0.1933027734749533,ADC,210
82,0.2936453469321189,ADC,210
83,0.3304159681531995,ADC,210
84,0.2043376414319472,ADC,240
85,0.0003489183531053,ADC,240
86,0.2248525597607916,ADC,240
